,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
0,Kikker en het vogeltje,4.99,3.0,32.0,,"4,7/5 (54 reviews)",Nederlands,vanaf 3 jaar,4.7,54.0,3.5,3.5,32.0
1,Kikker in de kou,4.99,3.0,32.0,,"4,6/5 (14 reviews)",Nederlands,vanaf 3 jaar,4.6,14.0,3.5,3.5,32.0
2,Het grote boek van Saskia en Jeroen,4.99,3.0,224.0,,"4,3/5 (6 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.3,6.0,"3.5, 4.5, 5.5, 6.5",5.0,224.0
3,Minoes,9.49,5.0,155.0,160.0,"4,8/5 (30 reviews)",Nederlands,"vanaf 3 jaar, vanaf 7 jaar, vanaf 8 jaar, vanaf 9 jaar",4.8,30.0,"3.5, 7.5, 8.5, 9.5",7.25,155.0
4,Dikkie Dik -  Bundel blauw,2.99,2.0,,,no reviews,Nederlands,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"0.5, 1.5, 2.5, 3.5",2.0,
5,Jip en Janneke er is er een jarig,4.49,2.0,32.0,,"4,6/5 (11 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.6,11.0,"3.5, 4.5, 5.5, 6.5",5.0,32.0
6,Takkie,4.49,2.0,48.0,,"4,7/5 (11 reviews)",Nederlands,"vanaf 2 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.7,11.0,"2.5, 4.5, 5.5, 6.5",4.75,48.0
7,De voorleesboot,4.99,3.0,32.0,,"3,0/5 (2 reviews)",Nederlands,vanaf 3 jaar,3.0,2.0,3.5,3.5,32.0
8,Filou & Pummel,0.99,2.0,,,no reviews,no language,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
9,Dikkie Dik -  Colección naranja,2.99,2.0,,,no reviews,Spaans,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
